sCode,noPeriode,sDescription
CH-TP,125,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,253,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,254,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TQ,110,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TQ,125,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TQ,256,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TR,260,LUN À VEN 9 h - 17 h
CH-TT,1372,24 HEURES - 7 JOURS SUR 7
CH-TU,28,LUN À VEN 9 h - 15 h  19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TU,30,LUN À VEN 9 h - 15 h  19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TU,121,LUN À VEN 9 h - 15 h  19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TU,125,LUN À VEN 9 h - 15 h  19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TX,259,LUN À VEN. 9h - 18h
CH-TY,283,9h - MINUIT - TOUS LES JOURS
CH-UA,28,LUN À VEN 9 h - 14 h 30 19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UA,121,LUN À VEN 9 h - 14 h 30 19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UA,125,LUN À VEN 9 h - 14 h 30 19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UA,188,LUN À VEN 9 h - 14 h 30 19 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,28,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,125,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1403,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1404,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UF,28,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UF,125,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UF,317,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UO,28,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UO,125,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UO,286,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CI-AA,37,ARRET INT. 7 h - 9 h 30 LUN À VEN
CI-AB,38,ARRET INT.  8 h - 9 h 30 LUN À VEN
CI-AC,39,STAT. INT. EXCEPTÉ LIVR. 8 h - 12 h LUN À VEN\P  EXCEPTÉ LIVRAISON 8 h - 12 h LUN À VEN
CI-AF,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 24 h
CI-DB,37,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
CI-DB,62,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
CI-DE,37,P 15 min DÉB. 7 h - 9 h 30 LUN À VEN
CI-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN
CI-PJ,56,STAT. INT. 17 h - 24 h
CI-QY,38,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
CI-QY,47,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
CI-RG,48,ARRET INT. 16 h - 18 h 30 LUN À VEN
CI-SD,40,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
CI-SD,175,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
CI-SE,181,P 15 min Déb. 7 h - 18 h LUN À VEN
CI-SF,182,STAT. INT. 8 h - 18 h LUN À SAM
CI-SN,80,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
CI-SN,179,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
CP-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h
CP-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h
CQ-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CQ-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CQ-AA,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CQ-AC,34,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CQ-AC,125,LUN À SAM 9 h - 18 h DIM 13 h - 18 h
CQ-AK,28,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-AK,111,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-AK,125,LUN À VEN 9 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-DG,27,LUN À VEN 9 h 30 - 15 h 30 SAM 9 h - 18 h DIM 13 h - 18 h
CQ-DG,28,LUN À VEN 9 h 30 - 15 h 30 SAM 9 h - 18 h DIM 13 h - 18 h
CQ-DG,125,LUN À VEN 9 h 30 - 15 h 30 SAM 9 h - 18 h DIM 13 h - 18 h
CQ-QE,28,LUN À VEN 12 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QE,115,LUN À VEN 12 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QE,125,LUN À VEN 12 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QF,27,LUN À VEN 9 h 30 - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QF,28,LUN À VEN 9 h 30 - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QF,110,LUN À VEN 9 h 30 - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QF,125,LUN À VEN 9 h 30 - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QT,28,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QT,31,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QT,110,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-QT,125,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RC,28,LUN À VEN 9 h - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RC,31,LUN À VEN 9 h - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RC,109,LUN À VEN 9 h - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RC,125,LUN À VEN 9 h - 15 h 30 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RN,28,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RN,30,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RN,110,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CQ-RN,125,LUN À VEN 9 h - 15 h  18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CR-AY,60,ARRET INT. 6 h - 9 h 30 LUN À VEN AVEC REMORQUAGE
CR-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN. AVEC REMORQUAGE
CR-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-QP,57,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-QP,58,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-RC,62,ARRET INT. 15 h 30 - 18 h LUN À VEN AVEC REMORQUAGE
CR-RN,80,ARRET INT. 15 h - 18 h 30 LUN À VEN AVEC  REMORQUAGE
CR-SK,186,ARRET INT. 14 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CU-AA,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AA,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AA,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
MB-RT,142,9 h - 21 h AVEC MAX JOUR P$ 6 HEURES
MM-08,259,LUN à VEN 9 h - 18 h (8 $ MAX)
MM-14,1371,6 h - 17 h  LUN - VEN (14 $ MAX)
MN-08,283,9 h - MINUIT TOUS LES JOURS (8 $ MAX)
MT-10,1372,24h /24 7j /7 -  (10 $ / 24h)
MT-11,1372,24h /24 7j /7 -  (11 $ / 24h)
MT-12,1372,24h /24 7j /7 -  (12 $ / 24h)
MT-14,1372,24h /24 7j /7 -  (14 $ / 24h)
MT-16,1372,24h /24 7j /7 -  (16 $ / 24h)
MT-20,1372,24h /24h 7j /7 - (20 $ / 24h)
MX-01,109,MAX 3 h18 h - 21 h LUN À VEN
MX-02,28,MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM
MX-02,125,MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM
MX-03,142,MAX 4 h 9h - 21 h
MX-04,28,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-04,108,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-04,125,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,28,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,108,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,125,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-06,28,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM
MX-06,108,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM
MX-07,28,MAX 3 h 9h - 18 h SAM
MX-10,125,MAX 3 h13 h - 18 h DIM
MX-11,34,MAX 3 h 9 h - 18 h LUN à SAM
MX-12,108,MAX 3 h 9 h - 21 h LUN à VEN
MX-14,28,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,108,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,125,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-16,28,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,108,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,125,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-17,35,MAX 3 h18 h - 21 h JEU ET VEN
MX-19,64,MAX 8 h 9h - 17 h LUN à SAM 13 h - 18 h DIM
MX-19,127,MAX 8 h 9h - 17 h LUN à SAM 13 h - 18 h DIM
MX-21,25,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,26,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,28,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-25,108,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
MX-25,332,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
PA-TD,319,\P  Réservé aux handicapés
PA-VL,319,Interdit d attacher vélo après un parcomètre
PC-GR,319,Tarifé EXCEPTÉ pour les détenteurs d'une vignette SRRR du secteur
PC-PI,319,Excepté périodes interdites
PC-TD,319,Réservée aux personnes handicapées
PC-VE,319,Réservée véhicule électrique en recharge (collant blanc officiel)
PC-VR,319,Réservée véhicule électrique en recharge (coll. orange)
SH-AA,28,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SH-AA,108,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SH-AC,34,LUN À SAM 9 h - 18 h
SH-AI,28,LUN À VEN 9 h - 16 h 18 h - 21 h SAM 9 h 18 h
SH-AI,32,LUN À VEN 9 h - 16 h 18 h - 21 h SAM 9 h 18 h
SH-AI,109,LUN À VEN 9 h - 16 h 18 h - 21 h SAM 9 h 18 h
SH-AJ,27,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-AJ,28,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-AJ,109,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-DG,104,LUN À VEN 16 h - 21 h  SAM 16 h - 18 h
SH-DG,185,LUN À VEN 16 h - 21 h  SAM 16 h - 18 h
SH-PC,27,LUN à VEN 9 h 30 - 15 h 30 et 19 h - 21 h SAM 9 h 30 - 15 h 30
SH-PC,121,LUN à VEN 9 h 30 - 15 h 30 et 19 h - 21 h SAM 9 h 30 - 15 h 30
SH-PC,1365,LUN à VEN 9 h 30 - 15 h 30 et 19 h - 21 h SAM 9 h 30 - 15 h 30
SH-PD,28,LUN À VEN 18 h - 21 h  SAM 9 h  - 18 h
SH-PD,109,LUN À VEN 18 h - 21 h  SAM 9 h  - 18 h
SH-SD,28,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SD,67,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SD,109,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SR,28,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-SR,121,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-SR,1366,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-TZ,28,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-TZ,104,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-TZ,196,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-UA,28,LUN à VEN 17 h - 21 h SAM 9 h - 18 h
SH-UA,114,LUN à VEN 17 h - 21 h SAM 9 h - 18 h
SH-UU,28,LUN À JEU 10 h 30 - 14 h et 16 h - 21 h VEN 10 h - 12 h et 13 h - 21 h  SAM 9 h - 18 h
SH-UU,200,LUN À JEU 10 h 30 - 14 h et 16 h - 21 h VEN 10 h - 12 h et 13 h - 21 h  SAM 9 h - 18 h
SH-UU,201,LUN À JEU 10 h 30 - 14 h et 16 h - 21 h VEN 10 h - 12 h et 13 h - 21 h  SAM 9 h - 18 h
SH-UU,202,LUN À JEU 10 h 30 - 14 h et 16 h - 21 h VEN 10 h - 12 h et 13 h - 21 h  SAM 9 h - 18 h
SH-UU,1369,LUN À JEU 10 h 30 - 14 h et 16 h - 21 h VEN 10 h - 12 h et 13 h - 21 h  SAM 9 h - 18 h
SI-AA,37,ARRET INT. 7 h - 9 h 30 LUN À VEN
SI-AB,38,ARRET INT.  8 h - 9 h 30 LUN À VEN
SI-AC,39,STAT. INT. EXCEPTÉ LIVR. 7 h 8 h ou 9 h - 12 h LUN À VEN\P  EXCEPTÉ LIVRAISON 8 h - 12 h LUN À VEN
SI-AE,40,ARRET INT. 7 h 30 - 9 h 30 LUN À VEN
SI-AF,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 24 h
SI-AK,38,STAT. INT. 7 h ou 8 h - 9 h 30 LUN À VEN
SI-AV,45,STAT. INT. EXCEPTÉ LIVR. 7h ou 8h ou 9h - 11h LUN À VEN
SI-AY,288,STAT. INT. 8 h ou 9 h - 15 h 30 LUN AU VEN
SI-AZ,62,P15 min DÉB. 7 h - 10 h et 15 h 30 - 18 h  LUN À VEN
SI-AZ,194,P15 min DÉB. 7 h - 10 h et 15 h 30 - 18 h  LUN À VEN
SI-BA,1381,ARRÊT INT. 5 h 30 - 21 h 30 LUN À VEN
SI-DA,46,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
SI-DA,47,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
SI-DB,37,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DB,62,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DC,40,P 15 min DÉB. 7 h 30 - 9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DC,62,P 15 min DÉB. 7 h 30 - 9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DF,62,P 15 min DÉB. 15 h 30 - 18 h LUN À VEN
SI-DG,319,ARRÊT INT. 6 h 30 - 9 h 30 et 15 h 30 - 19 h
SI-DH,1383,P 15 min  7 h 30 - 9 h MAR et JEU 
SI-DI,175,P 15 min DÉB. 7 h  - 10 h et 15 h - 18 h LUN À VEN
SI-DI,194,P 15 min DÉB. 7 h  - 10 h et 15 h - 18 h LUN À VEN
SI-DJ,1383,P 15 min  7 h 30 - 9 h MAR et JEU 
SI-DL,48,ARRET INT. 16 h - 18 h 30 LUN À VEN 01/11 AU 31/12
SI-DM,48,ARRET INT. 16 h - 18 h 30 LUN À VEN 01/01 AU 31/03
SI-DQ,174,STAT. INT. EN TOUT TEMPS - 1 AVRIL AU 31 OCT (saisonnier)
SI-DR,174,STAT. INT. EN TOUT TEMPS - 1 AVRIL AU 30 NOV (saisonnier)
SI-DS,174,STAT. INT. EN TOUT TEMPS - 1 AVRIL AU 14 OCT (saisonnier)
SI-DU,174,STAT. INT. EN TOUT TEMPS - 1 5 JUIN AU 14 SEPT (saisonnier)
SI-MA,78,STAT. INT. 8 h - 9 h LUN À VEN
SI-MB,1399,ARRET INT. 6 h 30 - 9 h LUN À VEN
SI-NA,56,STAT. INT. 17 h - 9 h
SI-NA,101,STAT. INT. 17 h - 9 h
SI-NB,1376,STAT. INT.  VEN ET SAM ET DIM (21/06 au 04/08 en 2019) - Marché des possibles
SI-NC,109,STAT. INT. 18 h - 21 h LUN À VEN
SI-ND,1415,STAT. INT. 0 h - 24 h LUN À VEN
SI-NE,1416,STAT. INT. 0 h - 24 h SAM et DIM
SI-PA,52,STAT. INT. EXCEPTÉ PERMIS 18 h - 23 h
SI-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN
SI-PC,54,STAT. INT. EXCEPTÉ LIVR. 13 h - 17 h LUN À VEN 
SI-PE,47,ARRET INT. 16 h -18 h LUN À VEN
SI-PG,41,STAT. INT. 18 h - 24 h
SI-PI,41,STAT. INT. EXCEPTÉ AUTOBUS 18 h - 24 h
SI-PJ,56,STAT. INT. 17 h - 24 h
SI-PM,159,STAT. INT. 18 h - 23 h  LUN À VEN
SI-PO,285,STAT. INT. 9 h - 13 h LUN À SAM
SI-PP,203,P 15 min DÉB 8 h - 17 h LUN À VEN sept. à juin
SI-PQ,203,P 15 min DÉB 8 h - 17 h LUN À VEN sept. à juin
SI-PT,40,P 15 min DÉB. 7 h 30 - 9 h 30 et 16 h - 18 h LUN À VEN
SI-PT,47,P 15 min DÉB. 7 h 30 - 9 h 30 et 16 h - 18 h LUN À VEN
SI-PU,124,ARRÊT INT. 6 h - 10 h LUN À VEN
SI-PV,138,P 15 min DÉB 7 h ou 8 h ou 9 h - 16 h LUN À VEN
SI-PX,37,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PX,175,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PY,37,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PY,175,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PZ,79,STAT. INT. 21 h - 8 h 30 LUN AU DIM
SI-PZ,306,STAT. INT. 21 h - 8 h 30 LUN AU DIM
SI-QF,37,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QF,58,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QG,46,ARRET INT. 7 h - 9 h LUN À VEN
SI-QK,37,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 17 h 30 LUN À VEN
SI-QK,53,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 17 h 30 LUN À VEN
SI-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN
SI-QS,59,STAT. INT. EXCEPTÉ DÉB. 18 h 30 - 24 h
SI-QY,38,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
SI-QY,47,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
SI-RB,37,ARRET INT. 7 h - 9 h 30 et 15 h - 18 h 30 LUN À VEN
SI-RB,80,ARRET INT. 7 h - 9 h 30 et 15 h - 18 h 30 LUN À VEN
SI-RC,62,ARRET INT. 15 h 30 - 18 h LUN À VEN
SI-RD,40,P 15 min.  Débarcadère 7h30-9h30 et 15h-18h Lun au Ven
SI-RD,175,P 15 min.  Débarcadère 7h30-9h30 et 15h-18h Lun au Ven
SI-RF,38,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h 30 LUN À VEN
SI-RF,48,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h 30 LUN À VEN
SI-RG,48,ARRET INT. 16 h - 18 h 30 LUN À VEN
SI-RP,119,STAT. INT. EXCEPTÉ DÉB. 13 h - 16 h
SI-RU,146,STAT. INT. 8 h - 17 h LUN À JEU 8 h - 12 h30 VEN
SI-RU,1361,STAT. INT. 8 h - 17 h LUN À JEU 8 h - 12 h30 VEN
SI-RY,107,STAT. INT. 19 h - 7 h
SI-RY,1414,STAT. INT. 19 h - 7 h
SI-RZ,138,STAT. INT. 7 h - 16 h LUN À VEN EXCEPTÉ LIVRAISON
SI-SD,37,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
SI-SD,175,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
SI-SE,181,P 15 min Déb. 7 h ou 8 h  ou 9 h - 18 h LUN À VEN
SI-SF,182,STAT. INT. 7h ou 8 h ou 9h - 18 h LUN À SAM
SI-SG,184,STAT. INT. 8 h - 16 h LUN À SAM
SI-SH,47,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
SI-SH,100,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
SI-SJ,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 3 h
SI-SJ,193,STAT. INT. EXCEPTÉ DÉB. 18 h - 3 h
SI-SK,230,STAT. INT. 7 h ou 8 h - 17 h LUN À SAM
SI-SL,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
SI-SM,315,STAT. INT. 9 h 30 - 16 h LUN au SAM
SI-SN,80,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
SI-SN,179,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
SI-SR,203,STAT. INT. 7 h 8 h ou 9 h  - 17 h LUN À VEN
SI-SS,212,STAT. INT. EXCEPTÉ DÉB. 9 h - 21 h DIM
SI-SU,100,ARRET INT. 7 h 30 - 9 h LUN À VEN
SI-SV,48,P 15 min DÉB. 7 h 30 -9 h et 16 h - 18 h 30 LUN À VEN
SI-SV,78,P 15 min DÉB. 7 h 30 -9 h et 16 h - 18 h 30 LUN À VEN
SI-SX,138,STAT. INT. 9 h à 16 h LUN À VEN
SI-SY,232,STAT. INT. 6 h à 12 h LUN À VEN
SI-SZ,41,STAT. INT. 18  h - 7 h
